Query.Mass,Matched.Compound,Matched.Form,Mass.Diff
217.029394919376,C00159,M+Cl37[-],9.4919375982272e-05
217.029394919376,C00124,M+Cl37[-],9.4919375982272e-05
217.029394919376,C00137,M+Cl37[-],9.4919375982272e-05
217.029394919376,C00984,M+Cl37[-],9.4919375982272e-05
182.046522023433,C00047,M+K-2H[-],7.49569729805444e-05
182.046522023433,C00250,M-H+O[-],0.000688490203003767
182.046522023433,C00847,M-H[-],0.000598490203003621
188.093432011925,C00418,M+ACN-H[-],0.000563478694999731
351.018372713742,C04376,M+Cl37[-],0.000972713742044107
267.072468760576,C00294,M-H[-],0.00105477265401532
267.072468760576,C05512,M-H+O[-],0.00106477265399008
267.072468760576,C20934,M-H[-],0.000345227345974308
202.072565563297,C01132,M-H2O-H[-],0.000542030067009591
202.072565563297,C00140,M-H2O-H[-],0.000542030067009591
202.072565563297,C00645,M-H2O-H[-],0.000542030067009591
383.208504815615,C05956,M-H+O[-],0.000971282385023642
175.072067591111,C16622,M+CH3COO[-],0.000172591110981557
175.072134590261,C16622,M+CH3COO[-],0.000239590260974865
85.0662951748242,C01571,M-2H[2-],0.000421641594201105
161.045322340581,C00031,M-H2O-H[-],0.000201192648972892
161.045322340581,C00221,M-H2O-H[-],0.000201192648972892
161.045322340581,C00267,M-H2O-H[-],0.000201192648972892
161.045322340581,C00095,M-H2O-H[-],0.000201192648972892
161.045322340581,C00159,M-H2O-H[-],0.000201192648972892
161.045322340581,C00124,M-H2O-H[-],0.000201192648972892
161.045322340581,C00137,M-H2O-H[-],0.000201192648972892
161.045322340581,C00984,M-H2O-H[-],0.000201192648972892
161.045322340581,C00232,M+CH3COO[-],0.000327340580980717
161.045322340581,C00109,M+CH3COO[-],0.000327340580980717
161.045322340581,C00141,M+HCOO[-],0.000377340580996588
161.045322340581,C00164,M+CH3COO[-],0.000327340580980717
161.045322340581,C00349,M+CH3COO[-],0.000327340580980717
161.045322340581,C06002,M+CH3COO[-],0.000327340580980717
124.040862375273,C00134,M+K-2H[-],8.46911869984979e-05
319.226994581257,C00219,M-H+O[-],0.000838951973037183
319.226994581257,C04742,M-H[-],0.000828951973005587
319.226994581257,C04805,M-H[-],0.000828951973005587
319.226994581257,C14748,M-H[-],0.000828951973005587
319.226994581257,C14749,M-H[-],0.000828951973005587
319.226994581257,C14768,M-H[-],0.000828951973005587
319.226994581257,C14769,M-H[-],0.000828951973005587
319.226994581257,C14770,M-H[-],0.000828951973005587
319.226994581257,C14771,M-H[-],0.000828951973005587
319.226994581257,C14772,M-H2O-H[-],0.000828951973005587
319.226994581257,C14773,M-H2O-H[-],0.000828951973005587
319.226994581257,C14774,M-H2O-H[-],0.000828951973005587
319.226994581257,C14775,M-H2O-H[-],0.000828951973005587
319.226994581257,C14777,M-H[-],0.000828951973005587
319.226994581257,C14778,M-H[-],0.000828951973005587
149.061155323754,C06459,M-H2O-H[-],3.17905240194705e-05
525.246830853627,C01246,M+CH3COO[-],0.000366495626963115
277.216420333961,C06426,M-H[-],0.000903199268975641
277.216420333961,C14825,M-H2O-H[-],0.000803199268943899
277.216420333961,C14826,M-H2O-H[-],0.000803199268943899
277.216420333961,C06427,M-H[-],0.000903199268975641
315.25443608911,C00249,M+CH3COO[-],0.000941089109971927
74.0250452990243,C00037,M-H[-],0.00032176579429688
74.0250452990243,C00027,M+ACN-H[-],0.000276765794296807
188.068416946654,C03771,M-H+O[-],0.000783413423988577
130.051553552152,C00186,M+ACN-H[-],0.000585018922009795
130.051553552152,C00577,M+ACN-H[-],0.000585018922009795
130.051553552152,C01013,M+ACN-H[-],0.000585018922009795
130.051553552152,C00430,M-H[-],0.000630018922009867
130.051553552152,C00148,M-H+O[-],0.000620018922006693
130.051553552152,C00763,M-H+O[-],0.000620018922006693
130.051553552152,C01110,M-H[-],0.000630018922009867
130.051553552152,C01157,M-H[-],0.000630018922009867
130.051553552152,C01165,M-H[-],0.000630018922009867
130.051553552152,C05147,M-H[-],0.000630018922009867
130.051553552152,C03440,M-H[-],0.000630018922009867
130.051553552152,C00184,M+ACN-H[-],0.000585018922009795
130.051553552152,C00256,M+ACN-H[-],0.000585018922009795
253.049686949313,C05844,M-H[-],0.000336583916975997
169.050549055555,C05576,M-H[-],7.44776749854736e-05
250.092197322344,C02076,M+ACN-H[-],0.00107121088601048
233.078506243264,C00439,M+CH3COO[-],0.00111124326400613
281.090355500547,C05340,M+K-2H[-],0.000608434087041587
196.073338190526,C03680,M+ACN-H[-],0.000569657295983461
243.026768325742,C02985,M-H[-],0.000755207487969756
243.026768325742,C01107,M-H+O[-],0.00076520748797293
173.046111724825,C03758,M+Na-2H[-],0.000335341635008035
327.253239259375,C00712,M+HCOO[-],0.000305740625037743
329.028768636172,C00130,M-H2O-H[-],0.000454897057977632
329.028768636172,C21383,M-H2O-H[-],0.000845102942037101
405.083760012878,C19588,M+CH3COO[-],0.00156501287796118
347.114379600658,C16608,M+Cl37[-],0.000379600658050094
182.010349214389,C00064,M+K-2H[-],0.000302147929005514
182.010349214389,C21029,M+K-2H[-],0.000302147929005514
182.010349214389,C00819,M+K-2H[-],0.000302147929005514
182.010349214389,C03722,M-H+O[-],0.000815681159025416
235.008636724257,C05379,M+HCOO[-],0.000408275743012609
189.031173180273,C07649,M+CH3COO[-],2.18197270100973e-05
117.019504333565,C00042,M-H[-],0.000180800334987907
117.019504333565,C02170,M-H[-],0.000180800334987907
117.019504333565,C00232,M-H+O[-],0.000170800334984733
117.019504333565,C00109,M-H+O[-],0.000170800334984733
117.019504333565,C00164,M-H+O[-],0.000170800334984733
117.019504333565,C00349,M-H+O[-],0.000170800334984733
117.019504333565,C06002,M-H+O[-],0.000170800334984733
334.052472733014,C00455,M(C13)-H[-],0.000250800216008429
181.037270174832,C00064,M+Cl[-],0.000729825167979925
181.037270174832,C16353,M-H+O[-],0.000536641601996735
181.037270174832,C16355,M-H[-],0.000546641601999909
181.037270174832,C16358,M-H+O[-],0.000536641601996735
181.037270174832,C16359,M-H[-],0.000546641601999909
181.037270174832,C21029,M+Cl[-],0.000729825167979925
181.037270174832,C00819,M+Cl[-],0.000729825167979925
163.007809848123,C01180,M-H+O[-],0.000776314893016661
393.063907906922,C01134,M+Cl[-],0.00139209307803867
372.079384295775,C04640,M+CH3COO[-],0.00141070422500889
319.1922059647,C05139,M-H+O[-],0.00077243147001127
319.1922059647,C05294,M-H+O[-],0.00077243147001127
319.1922059647,C18045,M-H+O[-],0.00077243147001127
319.1922059647,C18075,M-H+O[-],0.00077243147001127
160.040816143902,C05637,M-H[-],0.000392610672008686
160.040816143902,C05639,M-H[-],0.000392610672008686
151.06098476263,C00116,M+CH3COO[-],0.000389762629993129
151.06098476263,C00379,M-H[-],0.000238770599992222
151.06098476263,C00532,M-H[-],0.000238770599992222
250.093801978174,C00559,M-H[-],0.000721555055974932
250.093801978174,C16361,M+ACN-H[-],0.000766555055975005
250.093801978174,C02076,M+ACN-H[-],0.000533444944011308
166.018749703418,C07648,M-H[-],0.000573829811997939
289.216393711119,C00523,M-H[-],0.000929822111004341
289.216393711119,C03917,M-H[-],0.000929822111004341
289.216393711119,C04295,M-H[-],0.000929822111004341
289.216393711119,C04373,M-H[-],0.000929822111004341
289.216393711119,C05293,M-H[-],0.000929822111004341
325.237704836953,C01595,M+HCOO[-],0.000140163047035458
301.216557324425,C04742,M-H2O-H[-],0.000666208804943835
301.216557324425,C04805,M-H2O-H[-],0.000666208804943835
301.216557324425,C14748,M-H2O-H[-],0.000666208804943835
301.216557324425,C14749,M-H2O-H[-],0.000666208804943835
301.216557324425,C14768,M-H2O-H[-],0.000666208804943835
301.216557324425,C14769,M-H2O-H[-],0.000666208804943835
301.216557324425,C14770,M-H2O-H[-],0.000666208804943835
301.216557324425,C14771,M-H2O-H[-],0.000666208804943835
301.216557324425,C14777,M-H2O-H[-],0.000666208804943835
301.216557324425,C14778,M-H2O-H[-],0.000666208804943835
301.216557324425,C00473,M-H+O[-],0.000776208804950329
301.216557324425,C00899,M-H+O[-],0.000776208804950329
301.216557324425,C16682,M-H+O[-],0.000776208804950329
301.216557324425,C06428,M-H[-],0.000766208804975577
132.030167524995,C16630,M(C13)-H[-],0.000543991764999419
132.030167524995,C00049,M-H[-],5.60082349920776e-05
132.030167524995,C00402,M-H[-],5.60082349920776e-05
132.030167524995,C03508,M-H+O[-],6.60082349952518e-05
132.030167524995,C02218,M+HCOO[-],0.000522524995005824
161.060642096252,C06205,M-H[-],0.00018143697798223
