Query.Mass,Matched.Compound,Matched.Form,Mass.Diff
217.158775114649,C05301,M-C3H4O2+H[1+],9.8647878957081e-05
166.087007371436,C00079,M+H[1+],0.000730904665971366
166.087007371436,C16591,M-CO2+H[1+],0.000730904665971366
153.055236254135,C00121,M(S34)+H[1+],0.000640212635005355
153.055236254135,C00181,M(S34)+H[1+],0.000640212635005355
153.055236254135,C00259,M(S34)+H[1+],0.000640212635005355
153.055236254135,C00309,M(S34)+H[1+],0.000640212635005355
153.055236254135,C00310,M(S34)+H[1+],0.000640212635005355
153.055236254135,C00312,M(S34)+H[1+],0.000640212635005355
153.055236254135,C00547,M-NH3+H[1+],0.000559787364977637
153.055236254135,C00642,M+H[1+],0.000659787364980957
153.055236254135,C04043,M+H[1+],0.000659787364980957
153.055236254135,C05852,M+H[1+],0.000659787364980957
153.055236254135,C00314,M-NH3+H[1+],0.000559787364977637
153.055236254135,C01179,M-CO+H[1+],0.000659787364980957
153.055236254135,C05350,M-CO+H[1+],0.000659787364980957
153.055236254135,C05576,M-H2O+H[1+],0.000659787365009379
153.055236254135,C05584,M-HCOOH+H[1+],0.000559787365006059
274.111440929389,C19490,M-NH3+H[1+],3.55373809952653e-05
274.111440929389,C19607,M-NH3+H[1+],3.55373809952653e-05
283.128985539784,C05642,M+H2O+H[1+],0.000109073014016303
147.047911745661,C00940,M(C13)+H[1+],0.000264721109004995
310.148593240433,C16608,M[1+],0.000493240433002029
295.081693293819,C04677,M-CO2+H[1+],0.00141682704901314
137.060212467809,C03758,M-NH3+H[1+],0.000436001038991662
137.060212467809,C03765,M+H[1+],0.000536001038994982
137.060212467809,C07086,M+H[1+],0.000536001038994982
137.060212467809,C01179,M-CO2+H[1+],0.000436001038991662
137.060212467809,C05350,M-CO2+H[1+],0.000436001038991662
137.060212467809,C05582,M-HCOOH+H[1+],0.000436001039020084
137.060212467809,C05583,M-HCOOH+H[1+],0.000436001039020084
137.060212467809,C00166,M-CO+H[1+],0.000636001038998302
137.060212467809,C02763,M-CO+H[1+],0.000636001038998302
177.055359534685,C16587,M-NH3+H[1+],0.000683067914991398
177.055359534685,C16595,M-NH3+H[1+],0.000683067914991398
177.055359534685,C02985,M-HCOONa+H[1+],0.000683067915019819
229.158917491748,C05285,M-C3H4O2+H[1+],0.000241024977981397
229.158917491748,C05297,M-C3H4O2+H[1+],0.000241024977981397
229.158917491748,C05299,M-C3H4O2+H[1+],0.000241024977981397
378.145239579492,C01137,M+Na[1+],0.000763112721983816
259.068184486558,C00437,M+HCOOK[1+],0.000791980211999999
259.068184486558,C03838,M-CO+H[1+],0.000691980212025101
259.068184486558,C02700,M+Na[1+],0.000791980211999999
184.064670393743,C05399,M+H+Na[2+],0.00044392697301987
393.007844030603,C00365,M+HCOOK[1+],0.00173243616700347
267.134562546104,C05643,M+H2O+H[1+],0.000586079334027545
301.143548022344,D00195,M-NH3+H[1+],7.15555740384843e-05
121.065150210348,C00483,M-NH3+H[1+],0.000273743577992036
121.065150210348,C00601,M+H[1+],0.000373743577995356
121.065150210348,C05581,M-HCOOH+H[1+],0.000273743578020458
121.065150210348,C00166,M-CO2+H[1+],0.000373743577995356
121.065150210348,C02763,M-CO2+H[1+],0.000373743577995356
260.053342271094,C00352,M+H[1+],0.000365804323962493
260.053342271094,C01132,M+K[1+],0.000665804324000874
260.053342271094,C00360,M-C3H4O2+H[1+],0.00103419567602714
260.053342271094,C05635,M+HCOONa[1+],0.000465804323994234
260.053342271094,C00140,M+K[1+],0.000665804324000874
260.053342271094,C00645,M+K[1+],0.000665804324000874
260.053342271094,C16596,M+HCOONa[1+],0.000465804323994234
138.0552026248,C00108,M+H[1+],0.00022615802998871
138.0552026248,C05653,M-CO+H[1+],0.00032615802999203
138.0552026248,C00847,M-HCOOH+H[1+],0.00012615802998539
138.0552026248,C16591,M-C3H4O2+H[1+],0.000226158029960288
153.055256796432,C00121,M(S34)+H[1+],0.000619670338011247
153.055256796432,C00181,M(S34)+H[1+],0.000619670338011247
153.055256796432,C00259,M(S34)+H[1+],0.000619670338011247
153.055256796432,C00309,M(S34)+H[1+],0.000619670338011247
153.055256796432,C00310,M(S34)+H[1+],0.000619670338011247
153.055256796432,C00312,M(S34)+H[1+],0.000619670338011247
153.055256796432,C00547,M-NH3+H[1+],0.000580329661971746
153.055256796432,C00642,M+H[1+],0.000680329661975065
153.055256796432,C04043,M+H[1+],0.000680329661975065
153.055256796432,C05852,M+H[1+],0.000680329661975065
153.055256796432,C00314,M-NH3+H[1+],0.000580329661971746
153.055256796432,C01179,M-CO+H[1+],0.000680329661975065
153.055256796432,C05350,M-CO+H[1+],0.000680329661975065
153.055256796432,C05576,M-H2O+H[1+],0.000680329662003487
153.055256796432,C05584,M-HCOOH+H[1+],0.000580329662000167
361.159022502864,C12650,M(C13)+H[1+],0.000953963905999444
203.103168595605,C03838,M-HCOOK+H[1+],0.000592128834995265
